,symptom,disease,treatment_drug,emergency_condition,treatment_drugs
500,"['A family history of thrombotic stroke  ', 'Diabetes  ', 'High blood pressure (hypertension)  ', 'High cholesterol  ', 'Smoking ']",thrombotic-stroke,,"[""Diabetes. If you have diabetes, your risk of stroke is higher and you need to lower cholesterol and blood pressure more than people that don't have diabetes.  "", 'Sedentary lifestyle. You should exercise regularly. ', 'Unhealthy diet. A healthy diet is high in fruits and vegetables and includes monounsaturated oils such as olive oil. Avoid trans fats (hydrogenated or partially hydrogenated oils) and limit saturated fats. Eating a couple servings of fish each week may help to prevent stroke.  ', 'Smoking. If you smoke, quit. Talk to your doctor if you are having trouble quitting on your own.  ']","['High blood pressure. Treating high blood pressure with almost any medication reduces the risk of stroke. Several medicines have been shown to have an especially strong benefit. These include: ', 'Thiazide diuretics ', 'Hydrochlorothiazide (Oretic, HydroDIURIL)  ', 'Chlorthalidone (Hygroton, Thalitone) ', 'Angiotensin-converting enzyme (ACE) inhibitors ', 'Enalapril (Vasotec) ', 'Ramipril (Altace) ', 'Captopril (Capoten)  ', 'Lisinopril (Prinivil, Zestril) ', 'Cholesterol problems. If you have high cholesterol, you should take medication to reduce your cholesterol. Cholesterol-lowering medications called statins are known to prevent stroke. Examples of statins include: ', 'Simvastatin (Zocor) ', 'Pravastatin (Pravachol)  ', 'Atorvastatin (Lipitor) ', 'Rosuvastatin (Crestor) ']"
501,"[""Follicular cells produce a thyroid hormone called thyroxine, or T-4. It controls the body's metabolism and may affect the function of various organs."", 'C-cells, also called parafollicular cells, produce calcitonin. This hormone helps regulate the level of calcium in the blood.']",thyroid-cancer,,"['Thyroid ultrasound — In this test, sound waves, not x-rays, create images of the thyroid. The pictures can help your doctor determine whether a lump is a cyst or a tumor.']","['pain in the neck that may shoot up into the ears', 'difficulty swallowing', 'hoarseness', 'difficulty breathing', 'a persistent cough.']"
502,"['Partial thyroid lobectomy (a rare procedure) — Only part of one thyroid lobe is removed.', 'Thyroid lobectomy — All of one thyroid lobe is removed.', 'Thyroid lobectomy with isthmusectomy — All of one thyroid lobe is removed, together with the section between the two lobes (called the thyroid isthmus).', 'Subtotal thyroidectomy — One thyroid lobe, the isthmus and part of the second lobe are removed.', 'Total thyroidectomy — The entire thyroid gland is removed.']",thyroidectomy,,"['You develop a fever.', 'Your incision or any part of your neck becomes red, tender or swollen.', 'Your voice seems to be hoarse, husky or weak.', 'You develop symptoms of a low blood calcium level, such as numbness around your mouth, tingling in your extremities, or spasms in your feet, hands or face.']","['Hemorrhage (bleeding) beneath the neck wound — If this occurs, the wound bulges and the neck swells, possibly compressing structures inside the neck and interfering with breathing. This is an emergency.', 'Thyroid storm — If a thyroidectomy is done to treat a very overactive gland, there may be a surge of thyroid hormones into the blood. This is a very rare complication because medications are given before surgery to prevent this problem.', 'Injury to the recurrent laryngeal nerve — Because this nerve supplies the vocal cords, injury can lead to vocal cord paralysis and can produce a husky voice, either short term or long term.', 'Injury to a portion of the superior laryngeal nerve — If this occurs, patients who sing may not be able to hit high notes, and the voice may lose some projection.', 'Wound infection — Any surgical incision carries a risk that the site could become infected.', 'Hypoparathyroidism — If the parathyroid glands cannot be saved or are damaged during surgery, the person may not be able to make enough parathyroid hormone. Parathyroid hormone helps keep blood calcium levels in the normal range. Low parathyroid hormone output causes low blood calcium levels.']"
503,"['Lyme disease  ', 'Anaplasmosis (formerly known as human granulocytic ehrlichiosis) ', 'Babesiosis  ', 'Human monocytic ehrlichiosis ', 'Tularemia  ', 'Rocky Mountain spotted fever  ', 'Colorado tick fever  ', 'Relapsing fever  ']",tick-bites,,"['Human monocytic ehrlichiosis – Symptoms ranging from mild to severe can involve many organ systems. Common symptoms include high fever, headache, fatigue, nausea, weight loss and a spotted rash. Patients with weak immune systems can develop a fatal, overwhelming infection. Breathing difficulties and mental changes may also occur. ', 'Anaplasmosis – Symptoms ranging from mild to severe include high fever, headache, a general sick feeling (malaise), achy muscles (myalgia), nausea, vomiting, cough, stiff neck and confusion. Less than 10% of people with this disease will develop a rash. ', 'Colorado tick fever – Flulike symptoms include fever and chills, severe headache, achy muscles (myalgia), stiff neck, light intolerance and, in some cases, a spotted rash. ', 'Babesiosis – Many people will not have any symptoms. Others develop fatigue, fever, drenching sweats, nausea, vomiting, headache, muscle aches, joint aches and jaundice. Patients with suppressed immune systems may develop severe disease. ', 'Tularemia – The symptoms of this disease vary widely. Some people do not have any symptoms, but this disease also can be severe, causing septic shock and death. Common symptoms include fever, chills, headache and a general sick feeling (malaise). Many people also develop a single, red ulcerated lump with a central scab and tender, swollen lymph nodes in the area. A small number of patients develop pneumonia. ', 'Rocky Mountain spotted fever – Symptoms include fever, headache, a spotted rash on wrists and ankles, and a patchy rash on arms and legs. Muscle aches (myalgia), nausea, vomiting and abdominal pain are also common.  ']","[""Lyme disease – A variety of symptoms can occur, including a flulike illness, an expanding red rash that may include a central clear area (a bull's-eye rash), arthritis, heart rhythm problems, difficulties in thinking or perception, and neuropathies (pain or changes in sensation as a result of nerve damage). ""]"
504,"['Simple tics involve one muscle group', 'Simple motor tics include head shaking, eye blinking, sniffing, neck jerking, shoulder shrugging and grimacing. These are more common.', 'Simple vocal tics include coughing, throat clearing and barking.', 'Complex tics involve more than one muscle group', 'Complex motor tics include self-hitting or self-biting, jumping and hopping, and twirling while walking.', 'Complex vocal tics include repeating words out of context, echoing what someone else said and speaking obscenities.']",tics,,,
505,"['ketoconazole', 'Diflucan', 'Canesten', 'Oxistat', 'Sporanox']",tinea-versicolor,,,
506,"['Earwax buildup', 'Age-related hearing loss', ""Meniere's disease"", 'Inner ear damage from loud noise', 'Middle ear damage caused by a sudden change in pressure (barotrauma)']",tinnitus,,"['alprazolam', 'nortriptyline']","['Biofeedback, a form of therapy that teaches you to control bodily functions such as heart rate, breathing and perspiration', 'A tinnitus masker, which is an instrument worn like a hearing aid that makes a sound that cancels out the sound of the tinnitus', 'Tinnitus training therapy, small devices that generate ""white noise"" are worn behind or inside the ear canal to help the person learn to ignore the tinnitus']"
507,,tonometry,,,
508,"['Knee pain, usually on one side of your knee', 'Tenderness at the side of the joint', 'Knee swelling within the first 12 hours after injury', 'A ""locked"" knee that can\'t be bent', ""A knee that catches during movement, or can't be fully straightened"", 'A click, pop or grinding inside your knee when you move it', 'A knee that buckles, gives way or feels generally weak']",torn-meniscus,,"['Surgery to remove part of the meniscus (partial meniscectomy) — If the tear involves part of the meniscus where healing is poor, the surgeon may trim away ragged edges along the tear to allow the joint to move smoothly.']","['Nonsurgical — This may include a temporary knee brace and rehabilitation to keep the knee muscles strong while the knee is not bearing as much weight. This approach is most effective for small tears (5 millimeters or less) near the edge of the meniscus, where healing is usually good, or for people who are not good candidates for surgery.', 'Surgery to repair the tear — If the tear is large (1 to 2 centimeters), but it involves part of the meniscus where there is enough blood supply for healing, the doctor may be able to repair it with stitches.']"
509,"[""The child's position in the uterus before birth"", 'An inherited family tendency for in-toeing or out-toeing', 'Sitting or sleeping in certain positions for prolonged periods, for example, during long hours of watching television']",torsional-deformity,,,
510,"['Simple motor tics. These tics involve just one muscle group. Examples are an eye blink, a head jerk or a shoulder shrug.', 'Complex motor tics. These tics use more muscles groups. The face or body may contort. The person may touch someone, sniff, jump or gesture.']",tourette-syndrome,,,
511,"['Flu-like symptoms such as fever, chills, muscle aches, nausea, vomiting and diarrhea  ', 'Hypotension (low blood pressure) with a weak and rapid pulse  ', 'A red rash that covers the whole body, sometimes followed by peeling skin (the rash may be difficult to see in dark-skinned individuals) ', 'Decreased urine output ', 'Confusion, disorientation or other mental changes  ', 'Swelling in the hands, feet and ankles  ', 'Severe breathing difficulties  ']",toxic-shock-syndrome,,,
512,"['Painless swelling of the lymph nodes', 'Headache', 'Malaise (a general sick feeling)', 'Fatigue', 'Low-grade fever']",toxoplasmosis,,"['Daraprim', 'clindamycin', 'Bactrim', 'Zithromax', 'Mepron']","['Do not eat meat that is raw or rare. If you have a meat thermometer, cook meat to an internal temperature of at least 140° Fahrenheit.', ""Wash your hands thoroughly after you handle raw meat, after you work in your garden, and after you change a cat's litter box."", ""If you are pregnant or have a weakened immune system, do not handle raw meat or change a cat's litter box. If you cannot avoid doing these things, use gloves."", 'If you own a cat, keep it indoors and feed it store-bought canned or dry cat food.', 'If you have HIV, you will be tested to see if you have antibodies against toxoplasmosis in your blood, which would indicate that you were infected in the past. If the antibody test is positive, and your immune system is severely weakened, you will be treated with medications, such as the antibiotic trimethoprim sulfamethoxazole (Proloprim, Trimpex) to prevent the disease from reactivating. If the antibody test is negative, you will be counseled to avoid infection by using the techniques described above.']"
513,"['There is severe hip pain, especially when the leg is moved.', 'The injured leg is shorter than the uninjured leg.', 'The injured leg lies in an abnormal position. In most cases, the leg is bent at the hip, turned inward and pulled toward the middle of the body.']",traumatic-dislocation-of-the-hip,,,
514,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']",traveler's-diarrhea,,,
515,"['A yellow-green, foul-smelling vaginal discharge', 'Vaginal pain or itching', 'Irritation and inflammation around the vaginal opening', 'Vaginal pain during sexual intercourse', 'Burning discomfort during urination']",trichomoniasis,,,
516,,tropical-sprue,,,
517,"[""Primary pulmonary tuberculosis – In about 5% of people, the immune system can't stop the initial tuberculosis infection. These people develop active tuberculosis within one year of exposure to the bacteria. This type of active tuberculosis is most common in infants and children, especially in developing countries with high rates of malnutrition and poor medical care. People with HIV and other diseases that suppress the immune system are also at risk.  "", 'Postprimary (reactivation) pulmonary tuberculosis – About 95% of people infected with tuberculosis can inactivate the disease at first. Most of them never develop active disease. In those that do develop active disease, the bacteria eventually overcome the immune system and begin to replicate and spread, usually in the lungs. The bacteria may destroy large areas of the lungs, forming cavities filled with bacteria and dead cells.  ', 'Extra-pulmonary tuberculosis – Tuberculosis also can become active in other parts of the body, whether or not the lungs are involved. Common sites of infection include the bones, kidneys, lymph nodes and central nervous system.  ', 'Disseminated or miliary tuberculosis – Tuberculosis can spread through the entire body by way of the bloodstream.  ']",tuberculosis,,"['A blood test called interferon-gamma release assay ', 'Culture of other bodily fluids (such as urine or fluid from the space around the lung) ', 'Biopsy of tissue to look for characteristic changes consistent with TB ', 'Samples examined for evidence of tuberculosis using PCR (polymerase chain reaction) ']","['Headaches ', 'Visual difficulties ', 'Swollen lymph nodes ', 'Painful joints ', 'Scrotal masses ', 'Skin rashes ', 'Abdominal pain  ']"
518,"[""Eye damage (retinopathy) — Tiny blood vessels of the retina (the back of the eye, the part that senses light) are damaged by high blood sugar.  Damage to the vessels can stop the flow of blood to a part of the retina, or cause bleeding into the retina. Both events damage the ability of the retina to sense light. Diabetes also can cause a proliferation of new blood vessels that don't effectively feed blood to the retina, but that do leak and bleed.  Caught early, retinopathy can be stopped by tightly controlling blood sugar and laser therapy. If blood sugar remains high, retinopathy eventually causes blindness. "", 'Nerve damage (neuropathy) — High blood sugar can damage nerves, leading to pain or numbness of the affected body part. Damage to nerves in the feet, legs and hands (peripheral neuropathy) is most common. Nerves that control body functions, such as digestion and urination, also can be damaged.  ', 'Foot problems — Sores and blisters commonly occur on the feet of people with diabetes. If peripheral neuropathy causes numbness, a sore may not be noticed. If it is not noticed, it can more easily become infected. Blood circulation can be poor, leading to slow healing. Left untreated, a simple sore can lead to gangrene. Amputation may be necessary.  ', 'Kidney disease (nephropathy) — High blood sugar can damage the kidneys. If blood sugar remains high, it can lead to kidney failure. ', 'Heart and artery disease — People with type 1 diabetes are more likely to have heart disease, strokes and problems related to poor circulation.  ', 'Hypoglycemia — Low blood sugar (hypoglycemia) can result from treatments to lower blood sugar, either insulin injections or pills (see Treatment section, below). Hypoglycemia may occur if too much sugar-lowering medicine is taken or meals are skipped. Symptoms include: ', 'Weakness ', 'Dizziness ', 'Trembling ', 'Sudden sweating ', 'Headache ', 'Confusion ', 'Irritability ', 'Blurry or double vision ']",type-1-diabetes-mellitus,,,
519,"['Sweating ', 'Trembling ', 'Dizziness ', 'Hunger ', 'Confusion ', 'Seizures and loss of consciousness (if hypoglycemia is not recognized and corrected) ']",type-2-diabetes-mellitus,,"['Maintaining your ideal body weight.  ', ""Exercising regularly—like a brisk walk of 1-2 miles in 30 minutes—at least five times a week, even if that does not result in you achieving an ideal weight. That's because regular exercise reduces insulin resistance, even if you don't lose weight. "", 'Eating a healthy diet.  ', 'Taking medication. The medication metformin (Glucophage) offers some additional protection for people with pre-diabetes.  ']","['Fasting plasma glucose (FPG) test. Blood is taken in the morning after fasting overnight. Normally, blood sugar levels remain between 70 and 100 milligrams per deciliter (mg/dL). Diabetes is diagnosed if a fasting blood sugar level is 126 mg/dL or higher.  ', 'Oral glucose tolerance test (OGTT). Blood sugar is measured two hours after drinking 75 grams of glucose. Diabetes is diagnosed if the 2-hour blood sugar level is 200 mg/dL or higher.  ', 'Random blood glucose test. A blood sugar of 200 mg/dL or greater at any time of day combined with symptoms of diabetes is sufficient to make the diagnosis. ', 'Hemoglobin A1C (glycohemoglobin). This test measures the average glucose level over the prior two to three months. Diabetes is diagnosed if the hemoglobin A1C level is 6.5% percent or higher. ', 'Blood creatinine and urine microalbumin. Tests for evidence of kidney disease.  ', 'Lipid profile. Measures levels of triglycerides and total, HDL, and LDL cholesterol. This evaluates the risk of atherosclerosis. People with diabetes who also have high levels of total cholesterol or LDL cholesterol are at greatly increased risk for heart disease and strokes. ']"
520,"['Wear away in spots (leaving ulcers)', 'Bleed', 'Ooze cloudy mucus or pus']",ulcerative-colitis,,"['Severe symptoms that are not controlled by medicines', 'Unacceptable side effects from medicines', 'A very high risk of colon cancer because of extensive inflammation in the whole colon']","['By mouth, as pills', 'Directly into the rectum, as a suppository. A suppository is a waxy capsule.', 'As an enema (liquid that is squeezed from a bag or bottle into the rectum)']"
521,,ultrasound,,,
522,,undescended-testicle,,,
523,"['Painful and swollen joints, one or many', 'Conjunctivitis', 'Sterile urethritis']",urethritis,,,
524,,urinalysis,,,
525,"['To relieve a physical obstruction to urine flow, such as a urinary-tract stone, a bladder tumor or an enlarged prostate.', ""To drain urine when the bladder's muscles or nerves are not working properly. This can be caused by a spinal cord injury, multiple sclerosis or some other nerve problem. Also, certain medications can interfere with the bladder's normal emptying."", 'To treat incontinence (difficulty holding in urine until you reach the toilet) when other methods have failed.', 'To drain urine in patients who are unconscious. This includes patients who are in a coma or under general anesthesia.', 'To measure urine output in infants and children who are not toilet trained.', 'To measure urine output in adults who are incapacitated because of critical illness or surgery.', ""To obtain a clean urine sample for tests to detect bacteria infections in the urine. A clean urine sample is one that is not contaminated by bacteria from the patient's hands, genitals or rectum. With a catheter, a clean urine sample can be obtained directly from inside the bladder."", 'To collect urine during diagnostic studies of the urinary tract.']",urinary-catheterization,,,
526,"['during pregnancy', 'in men with an enlarged prostate', 'in people with diabetes', 'in people with abnormal bladder function', 'in people with persistent kidney stones', 'in children with an abnormal backflow of urine from the bladder to the kidneys (called vesicoureteral reflux) or an obstruction related to abnormal development of the urinary tract.']",urinary-health,,"['fever', 'frequent urination and an urgent need to urinate', 'abdominal pain', 'back pain.']","['Bladder and kidney infections — These infections are usually caused by bacteria and can be cured with antibiotics taken by mouth. Antibiotics may be given into a vein (intravenously) for severe kidney infections.', 'Urethritis — Urethritis is usually treated with antibiotics. The type of antibiotic used depends on which type of bacteria caused the urethritis. If you are sexually active and are being treated for a sexually transmitted disease, your sex partners must be treated, too.', ""Kidney stones — In many cases, a trapped kidney stone eventually flushes out of the urinary tract on its own, especially if you drink plenty of fluids. You can take pain medicine as needed until the stone dislodges and flushes away. Stones that don't pass may need to be removed surgically or broken up with a procedure called lithotripsy."", 'Cancer — Treatment options include surgery, immunotherapy, radiation therapy, and chemotherapy.']"
527,"['Pregnancy ', 'Coughing ', 'Sneezing ', 'Lifting  ', 'Laughing ', 'Some awkward body movements']",urinary-incontinence,,"['Myrbetriq', 'oxybutynin', 'VESIcare', 'Botox', 'Detrol LA']","['Muscle weakness ', 'Pelvic injury  ', 'Nerve problems']"
528,"['Lower tract infections — These include cystitis (bladder infection) and urethritis (infection of the urethra). Lower urinary tract infections commonly are caused by intestinal bacteria, which enter and contaminate the urinary tract from below, usually by spreading from the skin to the urethra and then to the bladder. Urethritis also may be caused by microorganisms that are transmitted through sexual contact, including gonorrhea and Chlamydia. Another form of male urinary infection is prostatitis which is an inflammation of the prostate.', 'Upper tract infections — These involve the ureters and kidneys and include pyelonephritis (kidney infection). Upper tract infections often occur because bacteria have traveled upward in the urinary tract from the bladder to the kidney or because bacteria carried in the bloodstream have collected in the kidney.']",urinary-tract-infection-in-men,,,
529,"['Lower tract infections — Infection of the bladder is called cystitis (bladder infection). Bacteria normally found in the intestine are the main cause of lower urinary tract infections. These bacteria spread from the anus to the urethra and bladder, where they grow, invade the tissue and cause infection.', 'Upper tract infections — These involve the ureters and kidneys. These infections are called pyelonephritis or kidney infections. Upper urinary tract infections usually occur because bacteria travel up from the bladder into the kidney. Sometimes, they occur when bacteria travel from other areas of the body through the bloodstream and settle in the kidney.']",urinary-tract-infection-in-women,,"['Macrobid', 'Cipro', 'nitrofurantoin', 'Bactrim', 'ciprofloxacin']","['Drink several glasses of water each day. Fluids discourage the growth of bacteria by flushing out your urinary tract. Drinking cranberry juice may deter bacterial growth by decreasing the ability of bacteria to stick to the urethra.', 'Wipe from front to back. To prevent the spread of intestinal bacteria from the rectum to the urinary tract, women always should wipe toilet tissue from front to the back after having a bowel movement.', 'Decrease the spread of bacteria during sex. Urinate after sexual intercourse to flush bacteria from your urethra. If you keep getting infections, you should talk to your doctor about using antibiotics after sex to lower the risk of developing urinary tract infections.']"
530,"['Discomfort in the vagina, pelvis, lower abdomen, groin or lower back. The discomfort associated with prolapse often is described as a pulling or aching sensation. It can be worse during sexual intercourse or menstruation.', 'Heaviness or pressure in the vaginal area. Some women feel like something is about to fall out of the vagina.', 'A bulge of moist pink tissue from the vagina. This exposed tissue may be irritated and cause itching or small sores that can bleed.', 'Leakage of urine, which can be worse with heavy lifting, coughing, laughing or sneezing', 'Frequent urination or a frequent urge to urinate', ""Frequent urinary tract infections, because the bladder can't empty completely when you urinate"", 'A need to push your fingers into your vagina, into your rectum, or against the skin near your vagina to empty your bladder or have a bowel movement', 'Difficulty having a bowel movement', 'Pain with sexual intercourse, urine leakage during sex, or an inability to have an orgasm', 'Moist discharge that soils your undergarments']",uterine-and-bladder-prolapse,,,
531,"['are obese', 'have a family history of Lynch syndrome', 'take long-term estrogen therapy', 'take tamoxifen for treatment or prevention of breast cancer.']",uterine-cancer,,"['are unable to have surgery or radiation therapy', 'have uterine cancer that has spread to distant organs, such as the lungs', 'have cancer come back following treatment.']","['fatigue', 'skin irritation', 'burning during urination', 'diarrhea.']"
532,"['The iris — The donut-shaped part that gives the eye its color ', 'The choroid — A membrane full of tiny blood vessels that lines the eye ', 'The ciliary body — A thick ring of tissue that helps control the shape of the lens, and is attached to the iris and to the front portion of the choroid']",uveitis,,"['Tests of visual acuity, to determine if vision has decreased. This can be as simple as reading an eye chart. ', 'A funduscopic exam, in which the pupil is dilated (widened) so that the ophthalmologist can look into the eye and see structures at the back of the eye. ', 'Measures of the pressure inside the eye to make sure it has not reached high levels that might be dangerous. This painless test involves an instrument called a tonometer that either blows a puff of air or lightly presses on the surface of the eye and measures how the surface of the eye responds. ', 'A slit-lamp exam, in which a narrow beam of light is shone into the eye so that a magnifying lens can closely examine the highlighted portion of the eye. Your doctor will use eye drops to dilate the pupil of the eye. A drop of fluorescein dye may be placed in the eye. This dye temporarily stains the surface of the eye and can help to determine which layers of the eye are inflamed. ']","['Sensitivity to light ', 'Blurred or decreased vision ']"
533,"['abnormal vaginal bleeding, often after sex, that is not related to your period', 'unusual vaginal discharge', 'a mass that can be felt', 'pain during sex', 'pain in the pelvis', 'painful urination and constipation.']",vaginal-cancer,,"[""Laser surgery. This involves using a narrow beam of light to kill cancer. It's often used to treat Stage 0 cancers."", 'Loop electroexcision. This involves using low-voltage, high-frequency radio waves in a thin loop of wire to cut away superficial (Stage 0) cancers.', 'Radical vaginectomy. Removes the vagina and adjacent tissues.', 'Vaginectomy combined with radical hysterectomy. Removes the vagina, uterus, and adjacent tissues.', 'Lymphadenectomy. Removes the lymph nodes in the groin or inside the pelvis.', 'Pelvic exenteration. This includes radical hysterectomy, vaginectomy, and removal of the bladder, rectum, and part of the colon.']","['Avoid human papilloma virus (HPV) infection. HPV is a common sexually transmitted disease that causes genital warts. Certain types of HPV are associated with cervical and vaginal cancer. If the vagina or cervix gets infected with HPV, cells can grow abnormally. This increases the chance of developing squamous cell cancer.', '', 'The risk of HPV infection increases if you begin having sex at an early age. The risk also increases if you have unprotected sex, have many sex partners, or have sex with a person who has had many partners.', '', 'To avoid HPV infection, always use condoms and limit your number of partners. Condoms cannot always prevent HPV infection, but they can lower the risk of HIV and other sexually transmitted diseases.', 'Get regular Pap tests. Many vaginal squamous cell cancers develop from changes in the surface of the vagina. These changes can be detected by a Pap test and treated before full cancer develops.', '', 'In general, doctors recommend that a woman start to have annual Pap tests before she becomes sexually active or by age 21 at the latest. After three negative Pap tests, your doctor may do the test every two to three years. (This will depend on your age and your risk of developing cervical cancer.) Women older than 40 should continue to have an annual pelvic exam.', 'Do not smoke. Women with vaginal cancer have an increased risk of lung cancer. Since lung cancer is related primarily to tobacco use, smoking and vaginal cancer may be linked.', 'Tell your doctor if your mother or grandmother took DES. He or she may want to monitor you more closely for VAIN and other conditions.']"
534,"['Antibiotic use', 'Birth control pills', 'Douching', 'Diabetes', 'Pregnancy', 'Stress', 'Tight or synthetic undergarments']",vaginal-discharge,,,
535,"['Vaginal itch or soreness', 'Thick, white, cheese-like discharge', '""Burning"" discomfort around the vaginal opening, especially if urine touches the area', 'Pain or discomfort during sexual intercourse.']",vaginal-yeast-infection,,,
536,"['Bacterial vaginosis is a change in the type of bacteria that normally live in the vagina, and it is the most common cause of an abnormal vaginal discharge or an unpleasant vaginal odor. In bacterial vaginosis, normal Lactobacillus bacteria are replaced by other bacteria, including Prevotella, Mobiluncus, G. vaginalis, and Mycoplasma hominis. The exact reason for this change is unknown. In pregnant women, bacterial vaginosis can increase the risk of premature delivery.  ']",vaginitis,,"['A yellow-green, foul-smelling vaginal discharge ', 'Vaginal pain or itching ', 'Irritation and inflammation around the vaginal opening ', 'Discomfort in the lower abdomen ', 'Vaginal pain during sexual intercourse ', 'Burning discomfort during urination ']","['Vaginal itch or soreness ', 'A thick cheese-like vaginal discharge ', 'Burning discomfort around the vaginal opening, especially if urine touches the area ', 'Pain or discomfort during sexual intercourse  ']"
537,"['A feeling of pressure or heaviness in the legs', 'Swollen feet and ankles', 'Itching skin near the damaged veins']",varicose-veins,,,
538,"['Salmon patch (nevus simplex) is a flat patch of pink or red skin, often small, usually with poorly defined borders. Salmon patches may be seen in as many as 1 out of every 3 newborns. They typically are found at the nape of the neck (""stork bite""), on the forehead between the eyebrows (""angel\'s kiss"") or on the eyelids. Often, they are more noticeable during crying or changes in temperature.', 'Hemangioma is a raised bright red spot, often small, usually soft and compressible, with well-defined borders. It occurs most commonly on the face, scalp, chest or back. It may be present at birth but more often appears during the first month of life. While many hemangiomas will become less noticeable over time, some may grow quite rapidly. In rare instances, the rapidly growing hemangioma can interfere with organ function.', 'Port-wine stain (nevus flammeus) is a flat patch of purple or dark red skin, often large, usually with well-defined borders. It usually is on one side of the face or neck and is present at birth. (Mikhail Gorbachev, former president of the Soviet Union, has a port-wine stain on his forehead.) Port-wine stains affect less than 1% of infants. In rare cases, they are associated with other abnormalities.']",vascular-birthmarks,,,
539,"['Polyarteritis nodosa – This affects small- to medium-sized blood vessels in many different parts of the body, especially the skin, intestines, kidneys and nerves. It is a progressive illness, meaning it continues to get worse, and it can lead to death. It typically occurs in adults in their late 40s or early 50s, and it affects men two to three times more often than women.', 'Cutaneous leukocytoclastic angiitis (previously called hypersensitivity vasculitis) – This affects the smallest blood vessels (including arterioles, veins and capillaries) primarily in the skin. Hypersensitivity vasculitis can be triggered by an allergy (especially a reaction to a medication) or an infection but often the cause is unknown.', 'Giant cell arteritis (also called temporal arteritis) – This affects medium to large arteries, including those around the scalp, face, eye and the aorta as it travels from the heart and separates into branches leading to the neck and head. It usually affects people over the age of 55. It is rare among African-Americans, but it is more common among whites of Scandinavian ancestry. Studies suggest that at least part of the tendency to develop this illness is genetic (inherited).', 'Granulomatosis with polyangiitis (GPA) – This affects small- and medium-sized blood vessels in the kidneys and in the upper and lower respiratory tract (for example, sinuses and lungs). It can occur in any age group and affects both sexes equally. The average age at the time the disease starts is 40, with only 15 percent of cases occurring in children and adolescents. It is rarer among African-Americans than Caucasians.', ""Takayasu's arteritis (also called aortic arch syndrome or pulseless disease) – This vasculitis affects medium- and large-sized arteries, especially the aortic arch and its branches near the heart. It most commonly affects teenage girls and young women, and it is most common in Asia."", 'Kawasaki disease – This vasculitis affects the lymph nodes, skin, mucous membranes, and heart, including the coronary arteries (arteries that supply blood to the heart). It is seen most commonly in children.']",vasculitis,,"['Polyarteritis nodosa – The disease is treated successfully in up to 90 percent of patients.', 'Cutaneous leukocytoclastic angiitis – Most cases go away on their own, even without treatment. Rarely, the disease returns, especially if the person is exposed to the disease trigger (such as a new drug) again.', 'Giant cell arteritis – The disease goes away in most people, but many require one or more years of treatment.', 'Granulomatosis with polyangiitis – At one time, this illness was almost always fatal. Now, with proper treatment, 90 percent of people have significant relief of symptoms and the disease goes away completely in about 75 percent of patients.', ""Takayasu's arteritis – For mild cases, the long-term prognosis is good. Overall, the 5-year survival is about 80 to 90 percent."", 'Kawasaki disease – The outlook is excellent. Less than 3 percent of people with this disease develop fatal complications.']","['Polyarteritis nodosa – This form of vasculitis usually is treated with prednisone (sold under several brand names) and, in most cases, an additional immunosuppressant such as cyclophosphamide (Cytoxan, Neosar), azathioprine (Imuran), methotrexate (Rheumatrex, others), mycophenolate (Cellcept) or rituximab (Rituxan).', 'Cutaneous leukocytoclastic angiitis – This form often goes away on its own without treatment. Any newly started medication that may have triggered the vasculitis should be stopped, if possible. For severe cases, corticosteroids may be given.', 'Giant cell arteritis – Treatment begins with high doses of prednisone, which gradually are reduced over many months. If symptoms return, steroid treatment may be necessary for a year or more. Additional medications, such as tocilizumab (Actemra) or methotrexate (Rheumatrex, and others), may be recommended.', 'Granulomatosis with polyangiitis – Standard treatment includes prednisone along with cyclophosphamide or rituximab. Methotrexate (Rheumatrex, and others), azathioprine (Imuran), mycophenolate (Cellcept) or other immune-suppressing medications may be used for maintenance therapy or when initial treatments are not effective.', ""Takayasu's arteritis – Corticosteroids are used to treat this condition. However, other immune suppressing medications may be recommended if improvement is not adequate with corticosteroids alone. Narrowed arteries may need to be corrected with surgery or angioplasty (inserting a balloon-tipped catheter to widen the vessels)."", 'Kawasaki disease – Treatment includes aspirin and a drug called gamma globulin given in high doses intravenously (into a vein) to reduce the risk of coronary artery damage. In some cases, corticosteroid therapy is recommended as well.']"
540,"['Traditional vasectomy – Using a scalpel, the surgeon makes one or two small incisions (cuts) in the skin of the scrotum (the sac that contains the testicles) near the base of the penis (one incision to reach the vas defer=""defer""ens from each testicle). Once the vas defer=""defer""ens are exposed, they are cut to prevent the ability of sperm to travel. Options include cutting the tubes and tying the ends, burning the tubes with a hot tool (electrocautery), or blocking them with surgical clips. The two small incisions in the scrotum are then closed with two or three small stitches.']",vasectomy,,,
541,,ventilation-perfusion-scan-or-v-q-scan,,,
